Prescription,Dose,USMedicarePrice,Norway,England,Ontario
Lucentis,0.5mgsyringeorvial,1936,894,1159,1254
Eylea,2mg/0.05mlvial.,1930,919,1274,1129
Rituxan/MabThera,500mgvial,3678,1527,1364,1820
Neulasta,6mg/0.6mlsyringe,3620,1018,1072,0
Avastin,100mgvial,685,399,379,398
Prolia,60mgsyringe,893,260,286,285
Alimta,100mgvial,604,313,250,342
Velcade,3.5mgvial,1610,1332,1191,0
Herceptin,Per100mg,858,483,424,493
Eligard,7.5mg,217,137,0,247
Orencia,250mgvial,881,437,472,390
Aranesp,500mcgsyringe,1995,663,1146,1227
Remodulin,20mgvial,1205,3684,0,0
SandostatinLARDepot,10mgkit,1540,845,734,1052
Hizentra,1gramvial,80,60,72,0
Synvisc,Three16mg/2mlsyringes,601,0,320,0
Botox,100unitvial,563,178,216,284
Erbitux,100mg,527,270,278,302
Abraxane,100mgvial,968,412,0,426
Aloxi,250mcgvial,205,89,87,0
Lexiscan/Rapiscan,0.4mgvial,207,76,81,0
Tysabri,300mgvial,4842,1870,0,2573
Gammagard/Kiovig,1g/10mlvial,76,89,0,0
Faslodex,250mgsyringe,907,336,0,0
Actemra/RoActemra,80mgvial,305,168,160,144
Yervoy,50mgvial,6738,4362,5856,4618
Xolair,150mgsyringeorvial,852,463,400,487
Gamunex,1g/10mlvial,78,0,66,0
Nplate,250mcgvial,1399,836,753,754
Orthovisc,30mg/2mlsyringe,168,0,102,0
Cimzia,Two200mgsyringes,2357,803,1117,1058
Soliris,300mg/30mlvial,6315,5730,4919,5368
Euflexxa,Three20mgsyringes,451,0,305,0
Octagam,5g/100mlvial,380,329,319,0
Benefix,1000unitvial,1451,936,948,0
Jevtana,60mg/1.5mlvial,8659,0,0,4618
FeibaNF/Feiba,500unit/20mlvial,899,652,0,0
Emend/Ivemend,150mgvial,255,84,74,0
Halaven,2mlvial,1003,512,0,389
Neupogen,Ten300mcgvials,2943,0,0,1532
Vectibix,100mgvial,987,472,592,498
Benlysta,120mgvial,479,189,0,0
Cubicin,500mgvial,372,172,138,143
Privigen,10g/100mlvial,753,499,717,0
Xiaflex/Xiapex,0.9mgvial,3370,1094,1015,0
Torisel,25mgvial,1521,0,0,995
Cerezyme,400unitvial,1653,1954,1673,0
Pulmozyme,302.5mgampules,2845,886,775,0
Adcetris,50mgvial,5894,3887,3904,3854
Arzerra,1000mgvial,4819,0,2842,0
Xyntha/ReFactoAF,250unitvialkit,293,226,196,0
Ozurdex,0.7mg,1384,1376,1359,0
Vpriv,400unitvial,1375,2367,2202,1557
Firmagon,80mgvial,282,181,202,203
